#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False,318
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False,405
3,Venusaur,Grass,Poison,80,82,83,100,100,80,1,False,525
3,VenusaurMega Venusaur,Grass,Poison,80,100,123,122,120,80,1,False,625
4,Charmander,Fire,,39,52,43,60,50,65,1,False,309
5,Charmeleon,Fire,,58,64,58,80,65,80,1,False,405
6,Charizard,Fire,Flying,78,84,78,109,85,100,1,False,534
6,CharizardMega Charizard X,Fire,Dragon,78,130,111,130,85,100,1,False,634
6,CharizardMega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,False,634
7,Squirtle,Water,,44,48,65,50,64,43,1,False,314
8,Wartortle,Water,,59,63,80,65,80,58,1,False,405
9,Blastoise,Water,,79,83,100,85,105,78,1,False,530
9,BlastoiseMega Blastoise,Water,,79,103,120,135,115,78,1,False,630
10,Caterpie,Bug,,45,30,35,20,20,45,1,False,195
11,Metapod,Bug,,50,20,55,25,25,30,1,False,205
12,Butterfree,Bug,Flying,60,45,50,90,80,70,1,False,395
13,Weedle,Bug,Poison,40,35,30,20,20,50,1,False,195
14,Kakuna,Bug,Poison,45,25,50,25,25,35,1,False,205
15,Beedrill,Bug,Poison,65,90,40,45,80,75,1,False,395
15,BeedrillMega Beedrill,Bug,Poison,65,150,40,15,80,145,1,False,495
16,Pidgey,Normal,Flying,40,45,40,35,35,56,1,False,251
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,False,349
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,1,False,479
18,PidgeotMega Pidgeot,Normal,Flying,83,80,80,135,80,121,1,False,579
19,Rattata,Normal,,30,56,35,25,35,72,1,False,253
20,Raticate,Normal,,55,81,60,50,70,97,1,False,413
21,Spearow,Normal,Flying,40,60,30,31,31,70,1,False,262
22,Fearow,Normal,Flying,65,90,65,61,61,100,1,False,442
23,Ekans,Poison,,35,60,44,40,54,55,1,False,288
24,Arbok,Poison,,60,85,69,65,79,80,1,False,438
25,Pikachu,Electric,,35,55,40,50,50,90,1,False,320
26,Raichu,Electric,,60,90,55,90,80,110,1,False,485
27,Sandshrew,Ground,,50,75,85,20,30,40,1,False,300
28,Sandslash,Ground,,75,100,110,45,55,65,1,False,450
29,Nidoran♀,Poison,,55,47,52,40,40,41,1,False,275
30,Nidorina,Poison,,70,62,67,55,55,56,1,False,365
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,False,505
32,Nidoran♂,Poison,,46,57,40,40,40,50,1,False,273
33,Nidorino,Poison,,61,72,57,55,55,65,1,False,365
34,Nidoking,Poison,Ground,81,102,77,85,75,85,1,False,505
35,Clefairy,Fairy,,70,45,48,60,65,35,1,False,323
36,Clefable,Fairy,,95,70,73,95,90,60,1,False,483
37,Vulpix,Fire,,38,41,40,50,65,65,1,False,299
38,Ninetales,Fire,,73,76,75,81,100,100,1,False,505
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,False,270
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,1,False,435
41,Zubat,Poison,Flying,40,45,35,30,40,55,1,False,245
42,Golbat,Poison,Flying,75,80,70,65,75,90,1,False,455
43,Oddish,Grass,Poison,45,50,55,75,65,30,1,False,320
44,Gloom,Grass,Poison,60,65,70,85,75,40,1,False,395
45,Vileplume,Grass,Poison,75,80,85,110,90,50,1,False,490
46,Paras,Bug,Grass,35,70,55,45,55,25,1,False,285
47,Parasect,Bug,Grass,60,95,80,60,80,30,1,False,405
48,Venonat,Bug,Poison,60,55,50,40,55,45,1,False,305
49,Venomoth,Bug,Poison,70,65,60,90,75,90,1,False,450
50,Diglett,Ground,,10,55,25,35,45,95,1,False,265
51,Dugtrio,Ground,,35,80,50,50,70,120,1,False,405
52,Meowth,Normal,,40,45,35,40,40,90,1,False,290
53,Persian,Normal,,65,70,60,65,65,115,1,False,440
54,Psyduck,Water,,50,52,48,65,50,55,1,False,320
55,Golduck,Water,,80,82,78,95,80,85,1,False,500
56,Mankey,Fighting,,40,80,35,35,45,70,1,False,305
57,Primeape,Fighting,,65,105,60,60,70,95,1,False,455
58,Growlithe,Fire,,55,70,45,70,50,60,1,False,350
59,Arcanine,Fire,,90,110,80,100,80,95,1,False,555
60,Poliwag,Water,,40,50,40,40,40,90,1,False,300
61,Poliwhirl,Water,,65,65,65,50,50,90,1,False,385
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,1,False,510
63,Abra,Psychic,,25,20,15,105,55,90,1,False,310
64,Kadabra,Psychic,,40,35,30,120,70,105,1,False,400
65,Alakazam,Psychic,,55,50,45,135,95,120,1,False,500
65,AlakazamMega Alakazam,Psychic,,55,50,65,175,95,150,1,False,590
66,Machop,Fighting,,70,80,50,35,35,35,1,False,305
67,Machoke,Fighting,,80,100,70,50,60,45,1,False,405
68,Machamp,Fighting,,90,130,80,65,85,55,1,False,505
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,False,300
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,False,390
71,Victreebel,Grass,Poison,80,105,65,100,70,70,1,False,490
72,Tentacool,Water,Poison,40,40,35,50,100,70,1,False,335
73,Tentacruel,Water,Poison,80,70,65,80,120,100,1,False,515
74,Geodude,Rock,Ground,40,80,100,30,30,20,1,False,300
75,Graveler,Rock,Ground,55,95,115,45,45,35,1,False,390
76,Golem,Rock,Ground,80,120,130,55,65,45,1,False,495
77,Ponyta,Fire,,50,85,55,65,65,90,1,False,410
78,Rapidash,Fire,,65,100,70,80,80,105,1,False,500
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,1,False,315
80,Slowbro,Water,Psychic,95,75,110,100,80,30,1,False,490
80,SlowbroMega Slowbro,Water,Psychic,95,75,180,130,80,30,1,False,590
81,Magnemite,Electric,Steel,25,35,70,95,55,45,1,False,325
82,Magneton,Electric,Steel,50,60,95,120,70,70,1,False,465
83,Farfetch'd,Normal,Flying,52,65,55,58,62,60,1,False,352
84,Doduo,Normal,Flying,35,85,45,35,35,75,1,False,310
85,Dodrio,Normal,Flying,60,110,70,60,60,100,1,False,460
86,Seel,Water,,65,45,55,45,70,45,1,False,325
87,Dewgong,Water,Ice,90,70,80,70,95,70,1,False,475
