Date,Shape of You,Despacito,Something Just Like This,HUMBLE.,Unforgettable
2017-01-06,12287078,,,,
2017-01-07,13190270,,,,
2017-01-08,13099919,,,,
2017-01-09,14506351,,,,
2017-01-10,14275628,,,,
2017-01-11,14372699,,,,
2017-01-12,14148108,,,,
2017-01-13,14536236,275178.0,,,
2017-01-14,14173311,1144886.0,,,
2017-01-15,12889849,1288198.0,,,
2017-01-16,14128468,1827581.0,,,
2017-01-17,14158281,2177449.0,,,
2017-01-18,14293365,2528408.0,,,
2017-01-19,14252159,2893300.0,,,
2017-01-20,14583344,3260014.0,,,
2017-01-21,14100340,3853781.0,,,
2017-01-22,12834029,3590914.0,,,
2017-01-23,14102623,4217226.0,,,
2017-01-24,14322902,4690718.0,,,
2017-01-25,14505619,4975605.0,,,
2017-01-26,14780816,5284138.0,,,
2017-01-27,15514586,5787911.0,,,
2017-01-28,14832215,6111181.0,,,
2017-01-29,13064919,5292500.0,,,
2017-01-30,14231127,5865825.0,,,
2017-01-31,14822928,6415754.0,,,
2017-02-01,15082574,6909578.0,,,
2017-02-02,15188841,7154707.0,,,
2017-02-03,15746115,7783608.0,,,
2017-02-04,15466788,7960983.0,,,
2017-02-05,13921836,6954006.0,,,
2017-02-06,14262945,7117879.0,,,
2017-02-07,14901649,7524853.0,,,
2017-02-08,15100809,7654919.0,,,
2017-02-09,14933036,7696998.0,,,
2017-02-10,15552934,8041356.0,,,
2017-02-11,15413871,8251406.0,,,
2017-02-12,13676618,7104062.0,,,
2017-02-13,14674584,7166431.0,,,
2017-02-14,15008480,7352353.0,,,
2017-02-15,15102932,7318174.0,,,
2017-02-16,15131464,7436876.0,,,
2017-02-17,15956427,7842114.0,,,
2017-02-18,15695805,7958583.0,,,
2017-02-19,13745624,6856240.0,,,
2017-02-20,14372218,6882922.0,,,
2017-02-21,14518094,7019868.0,,,
2017-02-22,14620249,7069521.0,215591.0,,
2017-02-23,7409446,3598449.0,3263782.0,,
2017-02-24,15502723,7718492.0,9495750.0,,
2017-02-25,15250574,7799662.0,8913284.0,,
2017-02-26,13154470,6542601.0,7892395.0,,
2017-02-27,13732236,6680914.0,8740161.0,,
2017-02-28,14104281,6894342.0,9025822.0,,
2017-03-01,14387674,6993754.0,9154085.0,,
2017-03-02,14637424,7124737.0,9289514.0,,
2017-03-03,19764745,7477002.0,9086940.0,,
2017-03-04,19190515,7578035.0,8391513.0,,
2017-03-05,16894102,6528616.0,7459124.0,,
2017-03-06,8920869,3209439.0,4108745.0,,
2017-03-07,17783792,6489893.0,8473791.0,,
2017-03-08,17461176,6481038.0,8372886.0,,
2017-03-09,17374877,6668838.0,8585554.0,,
2017-03-10,17683148,7151375.0,8696911.0,,
2017-03-11,17314324,7559157.0,8381828.0,,
2017-03-12,15271883,6483880.0,7492200.0,,
2017-03-13,15696357,6367631.0,8053150.0,,
2017-03-14,15429469,6530486.0,8036502.0,,
2017-03-15,15394529,6581381.0,8066840.0,,
2017-03-16,15322277,6744179.0,8153047.0,,
2017-03-17,15764710,7266069.0,8214961.0,,
2017-03-18,15516325,7537204.0,7972276.0,,
2017-03-19,13569145,6415819.0,7116930.0,,
2017-03-20,13967401,6261434.0,7484192.0,,
2017-03-21,14085438,6210215.0,7652882.0,,
2017-03-22,14114195,6274645.0,7704366.0,,
2017-03-23,14071898,6331494.0,7683797.0,,
2017-03-24,14738207,6914549.0,8016284.0,,
2017-03-25,14844704,7317552.0,7949671.0,,
2017-03-26,12775012,6167099.0,6919854.0,,
2017-03-27,13323435,6131439.0,7467563.0,,
2017-03-28,13350066,6292943.0,7690071.0,,
2017-03-29,13327608,6391751.0,7722621.0,,
2017-03-30,13278707,6487490.0,7718109.0,,
2017-03-31,13857236,6807668.0,8102263.0,5591687.0,
2017-04-01,13618632,6889959.0,7773710.0,6214676.0,
2017-04-02,11955149,5827083.0,6926595.0,5951795.0,
2017-04-03,12298714,5679885.0,7420502.0,7562327.0,
2017-04-04,12357088,5859633.0,7554846.0,7926908.0,
2017-04-05,12273297,5865613.0,7573175.0,7853640.0,
2017-04-06,12231223,5948378.0,7588367.0,7720368.0,
2017-04-07,13042637,6533680.0,9736931.0,8055220.0,317011.0
2017-04-08,12815920,6660608.0,9334494.0,7280150.0,308838.0
2017-04-09,11291392,5683746.0,8077875.0,6396104.0,756145.0
2017-04-10,11819128,5762588.0,8678774.0,7162611.0,954504.0
2017-04-11,11736951,5877897.0,8591469.0,7468021.0,953037.0
2017-04-12,11716914,6041766.0,8590463.0,7495873.0,972755.0
2017-04-13,11958775,6327822.0,8553816.0,7573209.0,1047409.0
2017-04-14,11443718,5846681.0,8048741.0,13144962.0,1124587.0
2017-04-15,11042206,5617332.0,7450464.0,11963789.0,1181031.0
2017-04-16,10010095,5108739.0,6713215.0,10040949.0,1200146.0
2017-04-17,10765545,10236693.0,7481411.0,11302669.0,1469013.0
2017-04-18,11003682,13837155.0,7720202.0,11967713.0,1699884.0
2017-04-19,10766018,14530591.0,7608793.0,11640174.0,1725940.0
2017-04-20,10826572,15603034.0,7578070.0,11181908.0,1820033.0
2017-04-21,11324112,18076042.0,7818554.0,11363409.0,1953608.0
2017-04-22,11234996,17750769.0,7449324.0,10274500.0,1890190.0
2017-04-23,9744436,15592441.0,6498748.0,8892731.0,1696541.0
2017-04-24,10226555,17174198.0,7108710.0,10131992.0,1976553.0
2017-04-25,10416529,17794232.0,7215107.0,10156513.0,2105738.0
2017-04-26,10483469,18053510.0,7252547.0,10145977.0,2620606.0
2017-04-27,10222461,18150660.0,7135760.0,10016786.0,2698186.0
2017-04-28,10818508,20021846.0,7545200.0,10309105.0,3028343.0
2017-04-29,10836688,20266973.0,7228232.0,9535829.0,3191729.0
2017-04-30,9754326,18406851.0,6545783.0,8415625.0,2971223.0
2017-05-01,9593805,18367645.0,6596730.0,8737383.0,3253665.0
2017-05-02,9706051,18955297.0,6846097.0,9192670.0,3619296.0
2017-05-03,9888519,19322294.0,6931541.0,9233418.0,3759408.0
2017-05-04,9934971,19505497.0,6935114.0,9207136.0,3855119.0
2017-05-05,10520138,21169157.0,7238272.0,9526065.0,4112038.0
2017-05-06,10555302,21096685.0,6959582.0,8935434.0,4025107.0
2017-05-07,9168672,17895091.0,6075220.0,7805942.0,3598374.0
2017-05-08,9483810,19068836.0,6592512.0,8576556.0,4168044.0
2017-05-09,9701644,19772336.0,6686915.0,8830985.0,4408268.0
2017-05-10,9675779,19848833.0,6653322.0,8746830.0,4488334.0
2017-05-11,9560953,20017122.0,6658910.0,8689326.0,4339295.0
2017-05-12,10105739,21542862.0,7013481.0,9077519.0,4523770.0
